date,time,6908
03/11/2022,04:06:00,60
03/11/2022,04:06:30,58
03/11/2022,04:07:00,65
03/11/2022,04:07:30,67
03/11/2022,04:08:00,65
03/11/2022,04:08:30,-1
03/11/2022,04:09:00,65
03/11/2022,04:09:30,76
03/11/2022,04:10:00,70
03/11/2022,04:10:30,63
03/11/2022,04:11:00,-1
03/11/2022,04:11:30,63
03/11/2022,04:12:00,61
03/11/2022,04:12:30,62
03/11/2022,04:13:00,66
03/11/2022,04:13:30,64
03/11/2022,04:14:00,63
03/11/2022,04:14:30,59
03/11/2022,04:15:00,74
03/11/2022,04:15:30,69
03/11/2022,04:16:00,72
03/11/2022,04:16:30,74
03/11/2022,04:17:00,65
03/11/2022,04:17:30,56
03/11/2022,04:18:00,66
03/11/2022,04:18:30,-1
03/11/2022,04:19:00,62
03/11/2022,04:19:30,61
03/11/2022,04:20:00,53
03/11/2022,04:20:30,63
03/11/2022,04:21:00,66
03/11/2022,04:21:30,64
03/11/2022,04:22:00,65
03/11/2022,04:22:30,62
03/11/2022,04:23:00,70
03/11/2022,04:23:30,71
03/11/2022,04:24:00,-1
03/11/2022,04:24:30,65
03/11/2022,04:25:00,71
03/11/2022,04:25:30,-1
03/11/2022,04:26:00,65
03/11/2022,04:26:30,57
03/11/2022,04:27:00,68
03/11/2022,04:27:30,65
03/11/2022,04:28:00,61
03/11/2022,04:28:30,67
03/11/2022,04:29:00,67
03/11/2022,04:29:30,75
03/11/2022,04:30:00,57
03/11/2022,04:30:30,65
03/11/2022,04:31:00,-1
03/11/2022,04:31:30,-1
03/11/2022,04:32:00,66
03/11/2022,04:32:30,58
03/11/2022,04:33:00,-1
03/11/2022,04:33:30,55
03/11/2022,04:34:00,60
03/11/2022,04:34:30,68
03/11/2022,04:35:00,-1
03/11/2022,04:35:30,71
03/11/2022,04:36:00,-1
03/11/2022,04:36:30,65
03/11/2022,04:37:00,63
03/11/2022,04:37:30,51
03/11/2022,04:38:00,55
03/11/2022,04:38:30,61
03/11/2022,04:39:00,65
03/11/2022,04:39:30,69
03/11/2022,04:40:00,58
03/11/2022,04:40:30,65
03/11/2022,04:41:00,66
03/11/2022,04:41:30,62
03/11/2022,04:42:00,69
03/11/2022,04:42:30,62
03/11/2022,04:43:00,65
03/11/2022,04:43:30,70
03/11/2022,04:44:00,73
03/11/2022,04:44:30,57
03/11/2022,04:45:00,63
03/11/2022,04:45:30,68
03/11/2022,04:46:00,68
03/11/2022,04:46:30,64
03/11/2022,04:47:00,63
03/11/2022,04:47:30,73
03/11/2022,04:48:00,85
03/11/2022,04:48:30,73
03/11/2022,04:49:00,63
03/11/2022,04:49:30,76
03/11/2022,04:50:00,61
03/11/2022,04:50:30,63
03/11/2022,04:51:00,67
03/11/2022,04:51:30,64
03/11/2022,04:52:00,66
03/11/2022,04:52:30,58
03/11/2022,04:53:00,67
03/11/2022,04:53:30,73
03/11/2022,04:54:00,-1
03/11/2022,04:54:30,69
03/11/2022,04:55:00,60
03/11/2022,04:55:30,69
03/11/2022,04:56:00,75
03/11/2022,04:56:30,-1
03/11/2022,04:57:00,55
03/11/2022,04:57:30,67
03/11/2022,04:58:00,60
03/11/2022,04:58:30,66
03/11/2022,04:59:00,59
03/11/2022,04:59:30,58
03/11/2022,05:00:00,57
03/11/2022,05:00:30,60
03/11/2022,05:01:00,-1
03/11/2022,05:01:30,66
03/11/2022,05:02:00,73
03/11/2022,05:02:30,65
03/11/2022,05:03:00,52
03/11/2022,05:03:30,-1
03/11/2022,05:04:00,61
03/11/2022,05:04:30,-1
03/11/2022,05:05:00,60
03/11/2022,05:05:30,69
03/11/2022,05:06:00,63
03/11/2022,05:06:30,64
03/11/2022,05:07:00,-1
03/11/2022,05:07:30,68
03/11/2022,05:08:00,-1
03/11/2022,05:08:30,57
03/11/2022,05:09:00,66
03/11/2022,05:09:30,-1
03/11/2022,05:10:00,55
03/11/2022,05:10:30,-1
03/11/2022,05:11:00,71
03/11/2022,05:11:30,66
03/11/2022,05:12:00,64
03/11/2022,05:12:30,67
03/11/2022,05:13:00,63
03/11/2022,05:13:30,62
03/11/2022,05:14:00,65
03/11/2022,05:14:30,71
03/11/2022,05:15:00,63
03/11/2022,05:15:30,65
03/11/2022,05:16:00,62
03/11/2022,05:16:30,63
03/11/2022,05:17:00,69
03/11/2022,05:17:30,70
03/11/2022,05:18:00,71
03/11/2022,05:18:30,58
03/11/2022,05:19:00,66
03/11/2022,05:19:30,58
03/11/2022,05:20:00,72
03/11/2022,05:20:30,68
03/11/2022,05:21:00,71
03/11/2022,05:21:30,68
03/11/2022,05:22:00,63
03/11/2022,05:22:30,67
03/11/2022,05:23:00,68
03/11/2022,05:23:30,60
03/11/2022,05:24:00,71
03/11/2022,05:24:30,66
03/11/2022,05:25:00,62
03/11/2022,05:25:30,65
03/11/2022,05:26:00,71
03/11/2022,05:26:30,61
03/11/2022,05:27:00,68
03/11/2022,05:27:30,65
03/11/2022,05:28:00,63
03/11/2022,05:28:30,65
03/11/2022,05:29:00,65
03/11/2022,05:29:30,71
03/11/2022,05:30:00,66
03/11/2022,05:30:30,60
03/11/2022,05:31:00,-1
03/11/2022,05:31:30,63
03/11/2022,05:32:00,71
03/11/2022,05:32:30,65
03/11/2022,05:33:00,75
03/11/2022,05:33:30,56
03/11/2022,05:34:00,78
03/11/2022,05:34:30,67
03/11/2022,05:35:00,70
03/11/2022,05:35:30,67
03/11/2022,05:36:00,70
03/11/2022,05:36:30,69
03/11/2022,05:37:00,70
03/11/2022,05:37:30,68
03/11/2022,05:38:00,62
03/11/2022,05:38:30,63
03/11/2022,05:39:00,66
03/11/2022,05:39:30,65
03/11/2022,05:40:00,66
03/11/2022,05:40:30,59
03/11/2022,05:41:00,68
03/11/2022,05:41:30,73
03/11/2022,05:42:00,73
03/11/2022,05:42:30,69
